video_name,aircraft,visibility,mist,fog,haze,sky_cover_l1,cloud_height_l1,rain,snow
1_2022-06-24-09-05-05,3,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-06-24-11-07-25,2,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-06-24-11-18-30,3,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-06-25-09-10-13,3,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-06-25-09-36-16,3,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-06-25-09-57-48,1,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-06-25-10-53-05,4,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-06-25-10-58-37,7,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-06-25-11-09-40,4,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-06-25-11-17-26,4,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-06-25-11-31-14,8,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-06-25-11-44-25,3,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-06-25-11-58-40,4,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-06-26-08-32-07,1,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-06-26-13-14-35,1,9,FALSE,FALSE,FALSE,BKN,2500,FALSE,FALSE
1_2022-06-26-14-34-26,1,8,FALSE,FALSE,FALSE,BKN,2000,FALSE,FALSE
1_2022-06-26-16-02-43,1,3,FALSE,FALSE,FALSE,SCT,1600,TRUE,FALSE
1_2022-06-26-16-14-50,1,3,FALSE,FALSE,FALSE,SCT,1600,TRUE,FALSE
1_2022-06-26-20-08-35,1,7,FALSE,FALSE,FALSE,SCT,800,FALSE,FALSE
1_2022-06-27-19-18-16,2,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-06-28-06-45-01,2,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-06-28-08-25-14,2,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-06-28-08-31-50,1,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-06-28-08-37-18,3,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-06-28-08-42-45,3,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-06-28-09-00-11,5,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-06-28-09-05-38,6,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-06-28-09-11-06,3,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-06-28-09-16-34,5,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-06-28-09-34-50,5,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-06-28-10-11-29,4,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-06-28-10-19-08,2,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-06-28-10-51-21,4,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-06-28-11-08-10,5,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-06-28-11-53-56,5,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-06-28-12-21-27,4,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-06-28-15-14-13,6,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-06-28-16-10-40,4,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-06-29-09-19-04,3,10,FALSE,FALSE,FALSE,FEW,7000,FALSE,FALSE
1_2022-06-29-09-30-00,4,10,FALSE,FALSE,FALSE,FEW,7000,FALSE,FALSE
1_2022-06-29-19-15-57,2,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-06-29-19-32-36,2,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-06-30-08-30-40,1,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-06-30-13-33-11,5,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-06-30-13-38-43,5,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-06-30-14-01-14,2,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-06-30-14-15-12,1,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-06-30-14-27-16,2,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-07-01-10-59-01,4,10,FALSE,FALSE,FALSE,FEW,4200,FALSE,FALSE
1_2022-07-01-12-35-25,1,9,FALSE,FALSE,FALSE,BKN,4500,FALSE,FALSE
1_2022-07-01-14-20-02,1,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-07-19-14-14-03,2,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-07-19-17-34-37,3,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-07-20-14-28-23,4,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-07-20-17-54-59,1,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-07-20-18-10-58,5,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-07-20-20-17-24,1,10,FALSE,FALSE,FALSE,FEW,9000,TRUE,FALSE
1_2022-07-21-12-05-14,2,10,FALSE,FALSE,FALSE,FEW,4700,FALSE,FALSE
1_2022-07-21-12-31-00,5,10,FALSE,FALSE,FALSE,FEW,4700,FALSE,FALSE
1_2022-07-21-14-55-06,2,10,FALSE,FALSE,FALSE,FEW,4900,FALSE,FALSE
1_2022-07-21-15-39-55,8,10,FALSE,FALSE,FALSE,FEW,5000,FALSE,FALSE
1_2022-07-21-18-47-58,1,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-07-24-11-15-39,4,10,FALSE,FALSE,FALSE,FEW,5000,FALSE,FALSE
1_2022-07-24-16-04-52,2,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-07-24-16-33-39,3,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-07-25-11-44-10,1,10,FALSE,FALSE,FALSE,SCT,4900,FALSE,FALSE
1_2022-07-25-15-41-28,5,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-08-23-09-24-04,2,10,FALSE,FALSE,FALSE,FEW,4800,FALSE,FALSE
1_2022-08-23-12-42-45,4,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-08-23-16-23-00,5,10,FALSE,FALSE,FALSE,FEW,4900,FALSE,FALSE
1_2022-08-23-18-34-53,3,10,FALSE,FALSE,FALSE,SCT,7000,FALSE,FALSE
1_2022-08-23-19-20-06,2,10,FALSE,FALSE,FALSE,FEW,6000,FALSE,FALSE
1_2022-08-24-08-33-07,4,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-08-24-09-35-50,2,10,FALSE,FALSE,FALSE,SCT,5000,FALSE,FALSE
1_2022-08-24-16-13-42,7,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-08-24-16-31-43,3,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-08-24-17-03-24,3,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-08-24-17-20-24,6,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-08-24-18-31-53,5,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-08-24-19-09-18,4,8,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-08-25-07-11-19,1,10,TRUE,FALSE,FALSE,FEW,4600,FALSE,FALSE
1_2022-08-25-11-54-56,2,10,FALSE,FALSE,FALSE,BKN,6500,FALSE,FALSE
1_2022-08-25-12-38-35,9,10,FALSE,FALSE,FALSE,SCT,6500,FALSE,FALSE
1_2022-08-25-15-31-45,4,10,FALSE,FALSE,FALSE,CLR,M,FALSE,FALSE
1_2022-08-26-09-21-43,3,10,FALSE,FALSE,FALSE,FEW,4300,FALSE,FALSE
